DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-04-02 00:00:00,0.8,7167.0375,90,3.7,84,791,2.8,2923.0,1638.0
2021-04-02 00:15:00,0.6,7474.8375,59,3.7,84,791,2.4,1369.0,357.0
2021-04-02 00:30:00,0.7,7035.9375,34,3.6,84,791,3.3,2979.0,2125.0
2021-04-02 00:45:00,0.9,6597.75,18,3.6,84,791,3.3,4684.0,3720.0
2021-04-02 01:00:00,1.2,6158.85,9,3.5,84,791,3.4,5281.0,3824.0
2021-04-02 01:15:00,1.6,6351.9375,7,3.5,84,791,3.5,6362.0,5082.0
2021-04-02 01:30:00,2.0,7176.3,9,3.5,84,791,3.6,6497.0,5834.0
2021-04-02 01:45:00,2.4,9068.225,12,3.4,84,791,3.8,8058.0,6633.0
2021-04-02 02:00:00,2.8,10002.5025,13,3.4,84,791,3.7,7374.0,5981.0
2021-04-02 02:15:00,3.1,10183.3825,13,3.4,84,791,3.4,6618.0,6075.0
2021-04-02 02:30:00,3.2,9609.25,13,3.3,85,791,3.9,8975.0,7678.0
2021-04-02 02:45:00,3.4,9035.1175,10,3.3,85,791,4.1,11199.0,9643.0
2021-04-02 03:00:00,3.5,7465.575,10,3.2,86,791,4.5,13708.0,12689.0
2021-04-02 03:15:00,3.6,6976.8,10,3.1,87,791,4.5,14958.0,13906.0
2021-04-02 03:30:00,3.6,6506.55,8,3.0,88,791,4.5,13947.0,12983.0
2021-04-02 03:45:00,3.7,6036.3,6,2.9,89,791,4.9,18701.0,16779.0
2021-04-02 04:00:00,3.8,5566.05,5,2.8,90,791,5.4,23767.0,22510.0
2021-04-02 04:15:00,3.8,5318.8125,5,2.7,90,791,5.7,31329.0,29175.0
2021-04-02 04:30:00,3.8,5294.5875,5,2.6,90,791,5.9,36361.0,32748.0
2021-04-02 04:45:00,3.8,5270.3625,6,2.6,91,791,6.0,37794.0,36494.0
2021-04-02 05:00:00,3.8,5246.1375,6,2.5,91,791,5.8,34756.0,33760.0
2021-04-02 05:15:00,3.8,5228.325,6,2.5,91,791,5.7,33419.0,30866.0
2021-04-02 05:30:00,3.8,5216.925,6,2.5,91,791,5.4,27434.0,23875.0
2021-04-02 05:45:00,3.9,5205.525,7,2.4,91,791,5.7,28956.0,26943.0
2021-04-02 06:00:00,3.9,5194.125,7,2.4,91,791,5.7,31303.0,30239.0
2021-04-02 06:15:00,4.0,5500.5,7,2.4,91,791,5.6,30401.0,27802.0
2021-04-02 06:30:00,4.1,6123.9375,6,2.4,91,791,5.4,27459.0,26172.0
2021-04-02 06:45:00,4.3,6747.375,5,2.3,92,792,5.9,30715.0,28606.0
2021-04-02 07:00:00,4.4,7370.8125,4,2.3,92,792,5.8,32861.0,31627.0
2021-04-02 07:15:00,4.5,8550.6175,3,2.4,92,792,5.5,29659.0,26035.0
2021-04-02 07:30:00,4.5,7267.5,1,2.5,91,792,5.6,33172.0,33973.0
2021-04-02 07:45:00,4.5,6991.05,0,2.6,91,793,6.1,38727.0,39283.0
2021-04-02 08:00:00,4.5,6713.8875,0,2.7,90,793,6.1,37111.0,35614.0
2021-04-02 08:15:00,4.5,6673.9875,359,2.8,90,793,5.9,31884.0,25482.0
2021-04-02 08:30:00,4.5,6871.35,359,2.9,90,793,5.2,21963.0,20138.0
